position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards
DEF,Norwich,5.7,0,1,31,1,0.6,290,230,0,0,1.3,12.0,90,18,0,0,0,0,0,450272,0.0,8,29005,11725,39,False,0
MID,Norwich,2.3,0,0,9,1,0.4,318,230,0,0,1.0,5.8,69,18,0,0,0,0,0,5953,4.0,3,604,651,49,False,1
DEF,Watford,2.4,0,0,6,0,0.0,400,230,0,0,0.0,0.0,0,15,0,0,0,0,0,4560,0.0,1,437,225,43,True,0
DEF,Watford,2.4,0,0,6,0,0.0,400,164,0,0,0.0,0.0,0,5,0,0,0,0,0,4560,0.0,1,437,225,43,False,0
DEF,Burnley,12.0,0,0,27,1,1.7,585,221,0,0,1.7,13.0,90,1,0,0,0,0,0,1501,2.0,7,19,36,45,False,0
DEF,Burnley,12.0,0,0,28,1,16.8,585,164,0,0,2.8,11.0,90,18,0,0,0,0,0,1501,0.0,7,19,36,45,True,0
MID,Liverpool,1.0,0,0,6,0,0.0,230,224,0,0,0.0,0.0,0,7,0,0,0,0,0,194745,0.0,1,421,18216,117,False,0
DEF,Liverpool,2.0,0,0,6,0,0.0,626,224,0,0,0.0,0.0,0,7,0,0,0,0,0,1061,0.0,1,34,33,40,False,0
FWD,Arsenal,3.0,0,0,8,0,1.7,20,221,0,0,0.7,1.0,13,5,0,0,0,0,0,20454,4.0,2,1151,2097,54,True,0
MID,Brighton,3.0,0,0,22,0,6.9,75,227,1,0,3.3,15.6,90,9,0,0,0,0,0,66754,10.0,3,2783,4791,45,False,0
DEF,Liverpool,1.0,0,0,6,0,0.0,248,224,0,0,0.0,0.0,0,7,0,0,0,0,0,9923,0.0,1,0,87,40,False,0
DEF,Chelsea,1.0,0,0,6,0,0.0,527,223,0,0,0.0,0.0,0,17,0,0,0,0,0,170916,0.0,1,87,16999,47,True,0
DEF,Norwich,1.0,0,0,6,0,0.0,515,230,0,0,0.0,0.0,0,18,0,0,0,0,0,22733,0.0,1,0,827,39,False,0
MID,Brighton,1.0,0,0,6,0,0.0,462,227,0,0,0.0,0.0,0,9,0,0,0,0,0,6375,0.0,1,25,947,59,False,0
MID,Southampton,0.0,0,0,6,0,0.0,332,229,0,0,0.0,0.0,0,12,0,0,0,0,0,9732,0.0,1,40,200,58,True,0
DEF,Newcastle,4.5,0,0,32,1,0.1,305,226,0,0,3.1,28.4,90,10,0,0,0,0,0,15143,2.0,7,565,674,43,False,0
MID,Leeds,3.5,0,0,15,0,3.3,186,226,1,0,2.5,10.4,79,14,0,0,0,0,0,27722,11.0,3,799,648,52,True,0
FWD,Southampton,2.7,0,0,9,0,0.9,345,229,1,0,0.7,6.2,90,12,0,0,0,0,0,70341,0.0,3,1258,2777,68,True,0
MID,West Ham,1.3,0,0,6,0,0.0,412,228,0,0,0.0,0.0,0,13,0,0,0,0,0,9380,0.0,1,52,148,51,False,0
MID,Norwich,1.0,0,0,6,0,0.0,320,230,0,0,0.0,0.0,0,18,0,0,0,0,0,1449,0.0,1,0,9,49,False,0
DEF,Chelsea,1.0,0,0,6,0,0.0,135,223,0,0,0.0,0.0,0,17,0,0,0,0,0,295228,0.0,1,132,5246,56,True,0
MID,Wolves,3.0,0,0,22,0,5.0,434,222,1,0,1.7,10.4,90,3,0,0,0,0,0,10168,2.0,3,286,328,47,False,0
DEF,Liverpool,13.5,2,3,41,0,48.1,234,224,1,0,11.0,47.0,90,7,0,0,0,0,0,343072,15.0,12,100716,9526,70,False,0
FWD,Wolves,1.0,0,0,6,0,0.0,583,222,0,0,0.0,0.0,0,3,0,0,0,0,0,245347,0.0,1,126757,151132,54,False,0
MID,Man Utd,5.0,0,0,28,0,1.4,281,228,0,1,7.2,31.4,28,19,0,0,0,0,0,77278,39.0,7,4296,16714,94,True,0
DEF,Wolves,7.5,0,0,16,0,7.0,470,222,1,0,2.8,20.6,90,3,0,0,0,0,0,111321,0.0,3,55982,4989,43,False,0
DEF,Brighton,1.0,0,0,6,0,0.0,536,227,0,0,0.0,0.0,0,9,0,0,0,0,0,3143,0.0,1,0,27,40,False,0
DEF,Newcastle,1.0,0,0,10,0,0.0,293,226,0,0,0.2,2.4,21,10,0,0,0,0,0,8069,0.0,2,19,149,44,False,0
MID,Brighton,2.3,0,0,12,0,3.5,55,227,1,0,2.4,10.6,61,9,0,0,0,0,0,23003,10.0,3,110516,110386,57,False,0
DEF,Burnley,0.0,0,0,6,0,0.0,534,221,0,0,0.0,0.0,0,1,0,0,0,0,0,24050,0.0,1,497,352,39,False,0
DEF,Burnley,0.0,0,0,6,0,0.0,534,164,0,0,0.0,0.0,0,18,0,0,0,0,0,24050,0.0,1,497,352,39,True,0
MID,Aston Villa,2.5,0,0,19,1,0.9,35,225,0,0,1.9,18.2,90,8,0,0,0,0,0,108129,0.0,4,3708,9347,58,False,0
DEF,Norwich,1.0,0,0,6,0,0.0,643,230,0,0,0.0,0.0,0,18,0,0,0,0,0,1119,0.0,1,188,76,40,False,0
MID,Arsenal,5.0,0,0,16,1,19.4,22,221,0,0,7.8,9.2,90,5,0,0,0,0,0,1321420,49.0,4,125898,107038,64,True,0
MID,Liverpool,5.5,0,0,7,0,0.1,236,224,0,0,0.0,0.0,30,7,0,0,0,0,0,10372,0.0,2,3175,1043,51,False,0
DEF,Liverpool,1.0,0,0,6,0,0.0,247,224,0,0,0.0,0.0,0,7,0,0,0,0,0,2202,0.0,1,0,10,44,False,0
GK,Crystal Palace,5.5,0,0,6,0,0.0,156,224,0,0,0.0,0.0,0,11,0,0,0,0,0,40348,0.0,1,116074,111646,44,True,0
DEF,Man City,8.5,0,0,21,0,35.8,256,229,1,0,7.8,23.0,90,16,0,0,0,0,0,4075182,19.0,3,244525,13743,71,False,0
MID,Aston Villa,1.0,0,0,6,0,0.0,41,225,0,0,0.0,0.0,0,8,0,0,0,0,0,13179,0.0,1,22,377,44,False,0
DEF,Arsenal,1.5,0,0,6,0,0.0,5,221,0,0,0.0,0.0,0,5,0,0,0,0,0,12973,0.0,1,27,284,42,True,0
DEF,Liverpool,2.5,0,0,10,0,0.0,238,224,0,0,0.3,3.2,1,7,0,0,0,0,0,35664,0.0,2,208,295,47,False,0
MID,Burnley,1.0,0,0,8,0,0.3,108,221,0,0,0.9,1.0,7,1,0,0,0,0,0,5538,8.0,2,206,247,54,False,0
MID,Burnley,1.0,0,0,6,0,0.0,108,164,0,0,0.0,0.0,0,18,0,0,0,0,0,5538,0.0,1,206,247,54,True,0
